topic_num,topic_title,subtitle,part,no,en,vi
1,Office Romance,Are you seeing anyone?,slang,1,Let's say...,Giả dụ rằng
1,Office Romance,Are you seeing anyone?,slang,2,And yet,và dẫu vậy
1,Office Romance,Are you seeing anyone?,slang,3,Imagine...,Tưởng tượng
1,Office Romance,Are you seeing anyone?,slang,4,Of course,Còn phải nói
1,Office Romance,Are you seeing anyone?,slang,5,Don't play dumb with me!,Đừng có mà giả điên với tui!
1,Office Romance,Are you seeing anyone?,vocab,1,Nowadays / These days / today / at present / in this day and age,Ngày nay
1,Office Romance,Are you seeing anyone?,vocab,2,At the end of the day / In the end / ultimately / eventually / finally / after all / at last,Suy cho cùng
1,Office Romance,Are you seeing anyone?,vocab,3,At work / In the workplace / at the workplace,Ở chỗ làm
1,Office Romance,Are you seeing anyone?,vocab,4,Partner / Mate / spouse / soulmate / lover / life partner / other half,Bạn đời
1,Office Romance,Are you seeing anyone?,vocab,5,Explicit / Transparent / clear / unambiguous / clear-cut / obvious / apparent / crystal clear,Minh bạch
1,Office Romance,Are you seeing anyone?,vocab,6,Against,Chống lại
1,Office Romance,Are you seeing anyone?,vocab,7,Fall for someone / Fall in love with someone / have a crush on someone / fall head over heels for someone,"""Say nắng"" một ai đó"
1,Office Romance,Are you seeing anyone?,vocab,8,Coworker / Colleague / teammate / work partner / officemate / collaborator / fellow worker / associate,Đồng nghiệp
1,Office Romance,Are you seeing anyone?,vocab,9,Close proximity,Sự gần gũi
1,Office Romance,Are you seeing anyone?,vocab,10,100% / Certainly / for sure / definitely / absolutely / by all means,Chắc chắn trăm phần trăm
1,Office Romance,Are you seeing anyone?,vocab,11,A tremendous amount of time / An enormous amount of time / a huge amount of time,Một khối lượng thời gian khủng
1,Office Romance,Are you seeing anyone?,vocab,12,Night shift,Ca đêm
1,Office Romance,Are you seeing anyone?,vocab,13,Get ahead / Keep ahead / stay ahead / succeed / become successful,Đi đầu
1,Office Romance,Are you seeing anyone?,vocab,14,A very open conversation,Một cuộc trò chuyện rất là cởi mở
1,Office Romance,Are you seeing anyone?,vocab,15,A very intimate conversation,Một cuộc trò chuyện rất là thân mật
1,Office Romance,Are you seeing anyone?,vocab,16,A romantic relationship,Một mối tình lãng mạn
1,Office Romance,Are you seeing anyone?,vocab,17,Who knows!,Ai biết được!
1,Office Romance,Are you seeing anyone?,vocab,18,Interest / Benefit,Lợi ích
1,Office Romance,Are you seeing anyone?,vocab,19,Unwritten rule / Unspoken rule,Luật bất thành văn
1,Office Romance,Are you seeing anyone?,vocab,20,Doctor and patient,Bác sĩ và bệnh nhân
1,Office Romance,Are you seeing anyone?,vocab,21,Nonsense! / Bullshit! / rubbish! / garbage! / ridiculous!,Nhảm nhí!
1,Office Romance,Are you seeing anyone?,vocab,22,Give preferential treatment to someone,Đối xử ưu ái với ai đó
1,Office Romance,Are you seeing anyone?,vocab,23,Objective,Khách quan
1,Office Romance,Are you seeing anyone?,vocab,24,Think through,Nghĩ thông
1,Office Romance,Are you seeing anyone?,vocab,25,Subordinate,Cấp dưới
1,Office Romance,Are you seeing anyone?,phrase,1,Here is my two cents / Here is my idea / here are my thoughts / here's my take / here is my opinion,"Đây là chút ý kiến của tôi,..."
1,Office Romance,Are you seeing anyone?,phrase,2,Believe it or not / Whether you believe it or not,"Tin hay không thì tùy,..."
1,Office Romance,Are you seeing anyone?,phrase,3,"And yet, that is still an explicit policy","Và dẫu vậy, đó vẫn là một chính sách minh bạch"
1,Office Romance,Are you seeing anyone?,phrase,4,Up to you / Suit yourself / the ball is in your court / it's your call / have it your own way,Tùy cậu
1,Office Romance,Are you seeing anyone?,phrase,5,That doesn't apply to me! / That's not true to me!,Cái đó đâu có áp dụng với tôi!
1,Office Romance,Are you seeing anyone?,phrase,6,Steer clear of / Keep clear of / stay away from,Né ra khỏi
1,Office Romance,Are you seeing anyone?,phrase,7,Give preferential treatment to me,Đối xử ưu ái với tui
1,Office Romance,Are you seeing anyone?,phrase,8,He's got a point / He's right,Hắn nói cũng có lý
1,Office Romance,Are you seeing anyone?,phrase,9,Alex the handsome mechanic guy,"Alex, cái anh chàng thợ máy đẹp trai"
1,Office Romance,Are you seeing anyone?,phrase,10,Imagine if...,Tưởng tượng nếu...
1,Office Romance,Are you seeing anyone?,phrase,11,If I put them in close proximity,Nếu tôi đặt họ lại gần nhau
1,Office Romance,Are you seeing anyone?,phrase,12,This is what's gonna happen,Đây là điều sẽ xảy ra
1,Office Romance,Are you seeing anyone?,phrase,13,Don't spend a tremendous amount of time at work,Đừng có mà dành một khối lượng thời gian khủng ở chỗ làm
1,Office Romance,Are you seeing anyone?,phrase,14,Not to mention...,Chưa kể đến...
1,Office Romance,Are you seeing anyone?,phrase,15,Have very open and intimate conversations,Có những cuộc trò chuyện rất là cởi mở và thân mật
1,Office Romance,Are you seeing anyone?,phrase,16,Chances are... / There's a strong possibility...,Rất có khả năng là...
1,Office Romance,Are you seeing anyone?,phrase,17,She has become attracted to Tom,Cổ đã bị hấp dẫn bởi Tom
1,Office Romance,Are you seeing anyone?,phrase,18,For the sake of our friendship / Because we are friends,Vì chúng ta là bạn bè
1,Office Romance,Are you seeing anyone?,phrase,19,The conflict of interest,Xung đột lợi ích
1,Office Romance,Are you seeing anyone?,phrase,20,Let me remind you,Để mình nhắc cho cậu nhớ
1,Office Romance,Are you seeing anyone?,sentence,1,"At the end of the day, every company should have a policy against it.",Suy cho cùng mỗi công ty đều nên có một chính sách chống lại chuyện đó.
1,Office Romance,Are you seeing anyone?,sentence,2,Should I date my boss or should I steer clear of that?,Tớ có nên hẹn hò với sếp tớ không hay là tớ nên né ra khỏi chuyện đó nhờ?
1,Office Romance,Are you seeing anyone?,sentence,3,"Let me ask you this, have you ever fallen for your subordinate?","Để tui hỏi cậu cái này nha, cậu có từng ""say nắng"" cấp dưới của cậu bao giờ chưa?"
1,Office Romance,Are you seeing anyone?,sentence,4,"Imagine if you're not allowed to have any relationships with your coworker, how would you feel?","Tưởng tượng nếu cậu không được phép có bất kỳ mối quan hệ tình cảm nào với đồng nghiệp của mình, cậu sẽ cảm thấy thế nào?"
1,Office Romance,Are you seeing anyone?,sentence,5,Not to mention they have had very open and intimate conversations and stuff.,Chưa kể đến việc tụi nó đã có những cuộc trò chuyện rất là cởi mở và thân mật các kiểu.
1,Office Romance,Are you seeing anyone?,sentence,6,Chances are Kim has become attracted to Tom the handome mechanic guy!,"Rất có khả năng là con Kim đã bị hấp dẫn bởi thằng Tom, cái thằng thợ máy đẹp trai á!"
1,Office Romance,Are you seeing anyone?,sentence,7,"Let me remind you, of course I have to put my interest first!","Để tui nhắc cho cậu nhớ, dĩ nhiên tui phải đặt lợi ích của mình lên trước rồi!"
1,Office Romance,Are you seeing anyone?,sentence,8,"Up to you, you know I only say this for the sake of our friendship.","Tùy mày, mày biết tao cũng chỉ nói vậy vì chúng ta là bạn bè thôi."
1,Office Romance,Are you seeing anyone?,sentence,9,Don't play dumb with me! Dating your boss won't help you get ahead in this company.,Đừng có mà giả điên với tao! Hẹn hò với thằng cha sếp của mày cũng chẳng giúp được mày đi đầu trong cái công ty này đâu.
1,Office Romance,Are you seeing anyone?,sentence,10,"That is only my two cents, and yet you've been warned!","Đó chỉ là chút ý kiến của tui thôi, dẫu vậy cậu được cảnh báo rồi đấy nhá!"
1,Office Romance,Are you seeing anyone?,monologue,1,"If you ask me, here is my two cents.",Nếu mà mày hỏi thì đây là chút ý kiến của tao.
1,Office Romance,Are you seeing anyone?,monologue,2,"Believe it or not, nowadays lots of people meet their partners at work.","Tin hay không thì tùy, ngày nay có quá trời người gặp được bạn đời của mình ở chỗ làm."
